PABST_1,PABST_2,PABST_3,PABST_4,PABST_5,PABST_6,PABST_7,PABST_8,PABST_9,PABST_10,PABST_11,PABST_12,PABST_13,PABST_14,PABST_15,PABST_16,PABST_17,PABST_18,PABST_19,PABST_20,PABST_21,PABST_22,PABST_23,PABST_24,PABST_25,PABST_26,PABST_27,PABST_28,PABST_29,PABST_30,PABST_31,PABST_32,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,ZS,SSOCANZ1,SSOCANZ2,SSOCANZ3,SSOCANZ4,SSOCANZ5,SSOCANZ6,ISBACANZ1,ISBACANZ2,ISBACANZ3,ISBACANZ4,ISBACANZ5,ISBACANZ6,BLD_HEIGHT,TEB_T1,TEB_T2,TEB_T3,TEB_T4,TEB_T5,TEB_T6,TEB_P1,TEB_P2,TEB_P3,TEB_P4,TEB_P5,TEB_P6,ISBA_T1,ISBA_T2,ISBA_T3,ISBA_T4,ISBA_T5,ISBA_T6,ISBA_P1,ISBA_P2,ISBA_P3,ISBA_P4,ISBA_P5,ISBA_P6,longitude,latitude
101742.09583,101049.64020,100292.13438,99391.05549,98324.75221,97065.78757,95577.87705,93819.24619,91744.45509,89303.16687,86440.30713,83099.33714,79220.39216,74741.94254,69612.86818,64092.78878,58715.67380,53723.68404,49090.38003,44787.76045,40790.04075,37074.02460,33623.66771,30424.94749,27463.83068,24726.12592,22200.72117,19883.25640,17776.75980,15884.09403,14193.35689,12683.08813,297.41817,297.41817,297.68895,299.16281,302.34010,304.55755,305.69038,306.38097,306.88794,307.08803,307.38837,308.17728,308.97767,309.46921,309.98300,311.80693,315.29569,319.20703,322.19137,325.11386,327.04490,328.78213,330.42523,332.10370,333.64694,335.04057,336.88493,340.49063,347.85261,359.21041,371.17680,371.17680,31.37774,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.30881,48.92021
101737.02792,101044.55665,100287.04145,99386.05361,98320.05265,97061.36217,95573.57229,93815.01161,91740.32776,89299.17300,86436.45351,83095.60904,79216.80317,74738.58607,69609.78223,64090.04637,58713.32718,53721.76458,49088.85012,44786.38926,40788.74474,37072.99033,33622.93199,30424.41351,27463.50660,24725.87576,22200.49249,19883.06847,17776.52820,15883.90079,14193.31645,12683.10129,297.39693,297.39693,297.64966,299.24870,302.42517,304.55485,305.67877,306.34853,306.88863,307.09077,307.39524,308.16670,308.96613,309.46295,309.98201,311.81094,315.29597,319.21989,322.19291,325.08456,327.04657,328.81949,330.42390,332.12528,333.68370,335.04138,336.87427,340.47253,347.81761,359.22597,371.20263,371.20263,31.81415,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.31736,48.92020
101722.13333,101029.73155,100272.30383,99371.60498,98306.05073,97047.75145,95560.32381,93802.09079,91727.73575,89287.01161,86424.74849,83084.43551,79206.29658,74728.84216,69600.94784,64082.22519,58706.51607,53716.02178,49084.08861,44782.28835,40785.15233,37069.98480,33620.51820,30422.49306,27462.03484,24724.73854,22199.61234,19882.41806,17776.04549,15883.58243,14193.20656,12683.12281,297.36319,297.36319,297.63947,299.47453,302.53452,304.60177,305.69337,306.34208,306.88049,307.09327,307.38919,308.16749,308.98176,309.47137,309.98679,311.81094,315.30341,319.26085,322.18818,325.06476,327.04765,328.84296,330.43474,332.17095,333.71716,335.07138,336.87772,340.47040,347.80478,359.22843,371.21157,371.21157,33.11304,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.32590,48.92019
101703.26202,101011.17255,100253.89903,99353.21274,98287.88209,97030.01652,95542.98232,93785.13883,91711.26454,89271.12240,86409.50609,83069.92731,79192.67270,74716.27106,69589.54558,64072.05128,58697.69136,53708.57016,49077.86144,44776.93952,40780.54634,37066.17612,33617.38749,30419.92530,27459.99313,24723.12923,22198.37798,19881.52894,17775.45652,15883.21664,14193.06585,12683.12993,297.37002,297.37002,297.63799,299.54977,302.67259,304.68200,305.71431,306.35012,306.88867,307.09777,307.39540,308.16455,308.97142,309.46243,309.98612,311.81279,315.34097,319.29219,322.20398,325.06591,327.05775,328.84784,330.45353,332.19572,333.72830,335.08323,336.87968,340.49320,347.80276,359.22939,371.21968,371.21968,34.79856,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.33445,48.92019
101685.95203,100993.86129,100236.66785,99336.17598,98271.13729,97013.69555,95527.09524,93769.65213,91696.23005,89256.51518,86395.47043,83056.64252,79180.13343,74704.61689,69578.99228,64062.68480,58689.63517,53701.78994,49072.15682,44772.01099,40776.35545,37062.78492,33614.57962,30417.56490,27458.06072,24721.58768,22197.20583,19880.66477,17774.90583,15882.89719,14192.92930,12683.16499,297.31729,297.31729,297.60868,299.40570,302.62593,304.68144,305.70878,306.32967,306.88221,307.09517,307.40669,308.15676,308.98448,309.46436,309.97998,311.81139,315.36449,319.29636,322.22443,325.07438,327.07809,328.85165,330.44518,332.19095,333.71685,335.08692,336.87547,340.49949,347.81232,359.22063,371.22129,371.22129,36.33904,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.34299,48.92018
101675.87080,100983.82230,100226.59404,99326.02062,98261.15283,97004.07498,95517.74786,93760.46183,91687.13675,89247.57772,86386.95072,83048.56946,79172.50999,74697.54964,69572.53667,64056.95301,58684.75290,53697.78077,49068.78183,44769.03423,40773.82512,37060.81156,33612.95514,30416.13119,27456.90567,24720.68579,22196.49979,19880.12175,17774.53547,15882.67984,14192.82962,12683.16905,297.29694,297.29694,297.52122,299.28056,302.65331,304.75889,305.71340,306.31843,306.85395,307.09582,307.42551,308.14446,308.98158,309.46272,309.97963,311.80797,315.38526,319.32389,322.22254,325.07399,327.09564,328.87735,330.40685,332.17134,333.71516,335.06129,336.86659,340.50026,347.81670,359.22067,371.22019,371.22019,37.26693,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.35154,48.92016
101671.52965,100979.45114,100222.21932,99321.53196,98256.36476,96999.21688,95513.04816,93755.84684,91682.58114,89243.11609,86382.68724,83044.51512,79168.58562,74693.81517,69569.14948,64053.99478,58682.34597,53695.86581,49067.16457,44767.61026,40772.58105,37059.81457,33612.20157,30415.45463,27456.38539,24720.34026,22196.20796,19879.85515,17774.30764,15882.52428,14192.76027,12683.15212,297.26408,297.26408,297.50568,299.05533,302.39758,304.77175,305.72758,306.32372,306.85692,307.09802,307.43318,308.13668,308.96328,309.44848,309.97930,311.80906,315.40852,319.30920,322.23341,325.07421,327.05012,328.89937,330.38717,332.16481,333.73335,335.05668,336.85345,340.49061,347.80590,359.22849,371.22640,371.22640,37.72596,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.36008,48.92015
101669.75000,100977.55658,100220.06781,99319.03390,98253.65697,96996.40447,95510.23444,93753.11482,91679.95924,89240.56567,86380.21047,83042.13528,79166.28087,74691.52250,69567.01133,64052.19856,58680.99190,53694.83439,49066.25875,44766.84515,40771.92285,37059.19666,33611.78104,30415.11241,27456.14185,24720.22826,22196.11682,19879.73206,17774.15253,15882.39713,14192.69754,12683.12442,297.21379,297.21379,297.35759,298.83516,302.26282,304.72088,305.72272,306.32615,306.86027,307.09399,307.43273,308.12937,308.95551,309.42924,309.98151,311.81660,315.43233,319.30439,322.23511,325.05008,326.99161,328.89802,330.38751,332.15428,333.73172,335.06297,336.84938,340.47400,347.79054,359.23240,371.23443,371.23443,37.99204,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.36863,48.92014
101667.23640,100974.88438,100217.27479,99316.05583,98250.37880,96992.98807,95506.86636,93749.89075,91676.90095,89237.56923,86377.32547,83039.34986,79163.54974,74688.89691,69564.56741,64050.17985,58679.43883,53693.55016,49065.13375,44765.96946,40771.23111,37058.46006,33611.22762,30414.77083,27455.86095,24720.03583,22195.98310,19879.59719,17774.00511,15882.27047,14192.62519,12683.08542,297.14221,297.14221,297.33074,298.71155,302.09950,304.70230,305.72163,306.35130,306.87765,307.09243,307.44232,308.11105,308.94374,309.42421,309.98156,311.84480,315.44235,319.30363,322.23937,325.04833,326.96954,328.86921,330.43733,332.14569,333.72634,335.06951,336.85055,340.47090,347.77895,359.23133,371.23772,371.23772,38.30938,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.37717,48.92013
101661.55696,100969.04332,100211.28110,99309.98717,98244.34416,96987.03850,95501.06495,93744.31297,91671.52561,89232.32005,86372.27460,83034.50009,79158.95303,74684.70771,69560.71329,64046.82122,58676.64294,53691.16934,49063.10847,44764.35012,40769.90708,37057.26458,33610.18262,30414.05616,27455.30432,24719.59877,22195.65733,19879.32087,17773.77867,15882.10929,14192.53934,12683.05543,297.06205,297.06205,297.27909,298.69630,302.09818,304.69495,305.73888,306.36922,306.88287,307.09437,307.45180,308.09853,308.93245,309.42407,309.98750,311.86412,315.45105,319.31938,322.24864,325.04777,326.98980,328.81601,330.44347,332.15195,333.70354,335.05658,336.83498,340.46322,347.77580,359.22983,371.24017,371.24017,38.86584,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.38572,48.92012
