"","kernel","approach","bandwidth","R2","R2adj","RSS","AIC","AICC"
"128","bisquare","AIC",650,0.608620080181175,0.572945777019375,43306.7310178381,37181.2354218679,37757.2551349077
"129","tricube","AIC",650,0.60296557411481,0.571581704461915,43932.409957545,37259.0629564824,37786.0384266861
"130","boxcar","AIC",650,0.55211189580749,0.541026436516624,49559.4400022704,37967.8317873333,38176.0637401689
"131","gaussian","CV",700,0.524126541809924,0.5168901184822,52656.0582410717,38348.9280486725,38437.4230212115
"132","exponential","CV",700,0.511508087032613,0.5029011419634,54052.3077654591,38560.8132423057,38648.3584691883
"133","bisquare","CV",700,0.599489139467785,0.567894694586063,44317.0822734612,37305.0036593519,37800.921468749
"134","tricube","CV",700,0.594237204535237,0.566480201006514,44898.2161587978,37376.6610174899,37830.4976827909
"135","boxcar","CV",700,0.547792522426022,0.538089462268275,50037.3846584077,38020.2905010697,38200.5313703051
"136","gaussian","AIC",700,0.524126541809924,0.5168901184822,52656.0582410717,38348.9280486725,38437.4230212115
"137","exponential","AIC",700,0.511508087032613,0.5029011419634,54052.3077654591,38560.8132423057,38648.3584691883
"138","bisquare","AIC",700,0.599489139467785,0.567894694586063,44317.0822734612,37305.0036593519,37800.921468749
"139","tricube","AIC",700,0.594237204535237,0.566480201006514,44898.2161587978,37376.6610174899,37830.4976827909
"140","boxcar","AIC",700,0.547792522426022,0.538089462268275,50037.3846584077,38020.2905010697,38200.5313703051
"141","gaussian","CV",750,0.519577985510909,0.51314153570336,53159.3623049393,38416.412641853,38494.6423221857
"142","exponential","CV",750,0.506830659957632,0.499153390119037,54569.871559446,38628.761695199,38706.3862177106
"143","bisquare","CV",750,0.591552843917582,0.563360407952592,45195.2443846646,37412.3829074254,37844.5191341355
"144","tricube","CV",750,0.586628661841881,0.561888464425172,45740.1119617593,37479.2945792853,37874.8259984934
"145","boxcar","CV",750,0.541714622901076,0.533089036024889,50709.912671603,38108.2570832753,38266.2162923769
"146","gaussian","AIC",750,0.519577985510909,0.51314153570336,53159.3623049393,38416.412641853,38494.6423221857
"147","exponential","AIC",750,0.506830659957632,0.499153390119037,54569.871559446,38628.761695199,38706.3862177106
"148","bisquare","AIC",750,0.591552843917582,0.563360407952592,45195.2443846646,37412.3829074254,37844.5191341355
"149","tricube","AIC",750,0.586628661841881,0.561888464425172,45740.1119617593,37479.2945792853,37874.8259984934
"150","boxcar","AIC",750,0.541714622901076,0.533089036024889,50709.912671603,38108.2570832753,38266.2162923769
"151","gaussian","CV",800,0.515357223717039,0.50958669481765,53626.3954521229,38479.3808461082,38549.1619544245
